id,first_name,last_name,email,age,gender,ip_address,country-origin,language,number_of_visits,total_view_hours,time_of_event,date ,main_interest_event,second_interest_event,device_streamed_on,web_browser
1,Bonita,Kaser,bkaser0@themeforest.net,63,Female,101.49.13.112,Russia,Montenegrin,430,205,17:27:00,09/03/2023,Equestrian,Equestrian,phone,Microsoft Internet Explorer
2,Cecil,Canadine,ccanadine1@nydailynews.com,44,Male,170.238.128.241,China,Bislama,573,37,14:25:00,09/12/2023,Trampoline,Wrestling,tablet,Mozilla Firefox
3,Rowney,Bariball,rbariball2@sogou.com,84,Male,77.47.114.28,United States,Gagauz,356,330,08:24:00,09/02/2023,Swimming,Tennis,tablet,Opera
4,Kipp,Sennett,ksennett3@prlog.org,53,Male,35.1.95.158,China,Telugu,902,326,16:38:00,09/07/2023,Modern Pentathlon,Taekwondo,desktop,Google Chrome
5,Joaquin,McSaul,jmcsaul4@zdnet.com,61,Male,180.241.87.76,France,Tswana,420,335,19:14:00,09/08/2023,Modern Pentathlon,Modern Pentathlon,tablet,Microsoft Internet Explorer
6,Millicent,Folkes,mfolkes5@si.edu,18,Female,226.230.198.91,Pakistan,Malayalam,838,366,07:41:00,09/10/2023,Modern Pentathlon,Handball,tablet,Opera
7,Thibaud,Trembey,ttrembey6@icq.com,74,Male,41.190.108.33,Russia,Icelandic,483,189,19:45:00,09/13/2023,Judo,Judo,laptop,Google Chrome
8,Vevay,Biglin,vbiglin7@ca.gov,72,Female,176.41.200.192,Dominican Republic,Belarusian,6,58,10:03:00,09/16/2023,Tennis,Wrestling,laptop,Google Chrome
9,Johannes,Hannaby,jhannaby8@washington.edu,77,Male,183.174.41.90,Russia,Bengali,312,5,00:52:00,09/01/2023,Skateboarding,,TV,Mozilla Firefox
10,Cull,Farrington,cfarrington9@hud.gov,20,Male,99.238.170.118,Vietnam,Bengali,982,90,04:04:00,09/05/2023,Cycling BMX Freestyle,Archery,tablet,Mozilla Firefox
11,Corrianne,Bramstom,cbramstoma@gravatar.com,64,Female,122.86.25.251,China,Chinese,781,29,22:04:00,09/17/2023,Cycling BMX Racing,Football,phone,Google Chrome
12,Packston,Szachniewicz,pszachniewiczb@hibu.com,85,Male,199.134.23.27,Russia,Bislama,343,108,08:38:00,09/13/2023,Karate,Volleyball,desktop,Google Chrome
13,Sanford,Hankinson,shankinsonc@ustream.tv,72,Male,240.163.165.6,Chile,Aymara,758,93,18:19:00,09/12/2023,Canoe Sprint,Table Tennis,desktop,Google Chrome
14,Nicolea,Purchon,npurchond@ucsd.edu,20,Female,18.25.47.55,France,Bislama,981,7,02:34:00,09/03/2023,Water Polo,Karate,tablet,Google Chrome
15,Creighton,Fearne,cfearnee@eventbrite.com,40,Male,242.140.196.220,China,Telugu,820,272,04:00:00,09/11/2023,Surfing,Rugby Sevens,desktop,Mozilla Firefox
16,Kevan,L' Anglois,klangloisf@unesco.org,81,Male,22.31.59.131,Indonesia,New Zealand Sign Language,586,77,00:06:00,09/03/2023,Triathlon,Hockey,phone,Apple Safari
17,Reggis,Willgoose,rwillgooseg@about.com,65,Male,206.226.125.173,Afghanistan,Assamese,818,75,15:43:00,09/16/2023,,Artistic Swimming,tablet,Apple Safari
18,Bald,Kinnon,bkinnonh@walmart.com,67,Male,6.138.73.68,China,Estonian,715,315,17:20:00,09/13/2023,Skateboarding,Cycling BMX Racing,TV,Microsoft Internet Explorer
19,Hermon,Doble,hdoblei@fema.gov,88,Male,19.183.198.28,China,Marathi,923,122,07:07:00,09/03/2023,Diving,Artistic Gymnastics,TV,Microsoft Internet Explorer
